object-id,youtube-id,title,type,format
7003,5qQsF5eZCK4,7003 Days,Brown Bag,video
arment,bBcBCZuyego,Cirque de Arment Lecture,,video
aspen,77jl72enQ7k,Aspen Grove Gallery,Brown Bag,video
bells,2ZMgjJ-CSAE,Musica Handbells Performance,,video
bihr,CfGD29NzzfY,Lauren Bihr Music Bag,,video
brock,k7Wg_7Sz7kc,Brock Evans,Brown Bag,video
calculus,AcZ22ayZWUI,Calculus,Brown Bag,video
Carl,yEG6wk7LUko,Walter Brennan Days: Carl Rollyson Presentation,,video
civil,XeIyPrAcNzY,Civil Rights,Brown Bag,video
clarke,wuMlMwQzP0I,Nancy Clarke,Brown Bag,video
collett,33ZCCCx0Dfw,Sam Collett Painting Workshop,,video
controversy,tkuCUuONxp8,Dams Fish &amp; Controversy Exhibit Opening Lecture,,video
cradleboard,AIKgozJTyo8,Nez Perce Cradleboard,Brown Bag,video
ditch,nUMGyYOctUg,Associated Ditch Committee,Brown Bag,video
dolls,58EiVVVrkvE,Nez Perce Dolls,Brown Bag,video
dugout,BMIwMx7VA0Y,Nez Perce Dugout Canoe Build,,video
eouag,2VBne1_Jqq0,Eastern Oregon Agriculture,,video
farmers,k3pAdOnEr2c,Wallowa County Farmer's Market,Brown Bag,video
forrest,88Ryaj9EmAE,An American Forrest Music Bag,,video
gianluca,f-RE2e7RS20,Gianluca Giarrizzo Exhibit Walkthrough,,video
grandi,c_p5PuFdIjs,Dr. Renee Grandi,Brown Bag,video
grit,w0RFr04ad4Q,Grit &amp; Ink Book Release,,video
Hi,vj7e6Dk6nX0,Bob Fergison &#8211; Expressive Figures,,video
hikinghells,AHdXXZPmf0Q,Hiking Hells Canyon,Brown Bag,video
homeenergy,_UFtYZXHUiY,Home Energy,Brown Bag,video
Horse,0xM-A4kXpS4,Year of the Horse,Brown Bag,video
housing,1rWGPGNwoyE,Wallowa County Housing,Brown Bag,video
HousingII,MJID72Eg4rA,Housing II: Small Houses,,video
HousingIII,sCYw-_EQvb8,Housing III Discussion,,video
hyde,bnuy_-qCZCc,Doug Hyde &#8211; Indian Art on Main St Lecture,,video
imnahariver,C03Z7sEO6Wg,Imnaha River Fisheries,Brown Bag,video
jennerptsd,bRkhYzIfI4k,Jenner Hanni PTSD Discussion,,video
JFK,AYWvtzkz24M,JFK,Brown Bag,video
Josephy,o-VDSRM7DiM,Alvin Josephy's 100th Birthday Celebration,,video
kennedy,DW4BnPphELs,Pat Kennedy Wildlife,Brown Bag,video
kirts,A9_li38VcO0,Keith Kirts Lithography,Brown Bag,video
LBJ,bIZkfF5ehHg,LBJ Ranch,Brown Bag,video
librarymeasure,GbETQDZpXP8,Wallowa County Library Measure,Brown Bag,video
Life,TLbNxDYDznc,My Life on Joseph Creek by Julie Kooch,,video
madden,BwDs39-T3qE,Mark Madden &#8211; Maxville Heritage Presentation,,video
malcolm,tunAQY4jFV0,Malcolm Phinney,Brown Bag,video
Mary,jx7bKCr2PeQ,From the Philippines to the Zumwalt,,video
Miniatures,MvrXlPKfxbc,Miniatures to Murals Exhibit,,video
museums,2Ts4-nhRK04,Museums: Places of Learning,Brown Bag,video
mushing,ZY-OWCQtJzQ,Morgan Anderson,Brown Bag,video
nests,j-z6QJH-ITA,Wallowa Bird Nests,Brown Bag,video
norman,qpZxbx5C1w8,Brady Norman Luthier,Brown Bag,video
olaf,z7GQKQBvDvg,Ted Juve Pottery,Brown Bag,video
oliver,nzzGHbCKk8U,Brian Oliver Music Bag,,video
organ,8Wg0GVX094I,Stephen Adams Pipe Organ Music Bag,,video
pearl,_CT60YYN7NY,Pearl Marsh Excerpt,,video
pinkham,YbumLacZgNU,Pinkham Family Nez Perce,Brown Bag,video
pjce,9UMNP7dLZLQ,Portland Jazz Composers Ensemble Afternoon Performance,,video
pramila,97EbmDN3014,Pramila Jayapal Video Chat,,video
print,FQaNUj-zC5c,Print-o-thon,,video
proctor,FesxBe4lKD4,Bob Proctor,Brown Bag,video
qualle,D3JURzM5q64,Barrie Qualle,Brown Bag,video
quinoa,OGI9JBMPNVw,Quinoa,Brown Bag,video
senior,nuyCRakva80,Allen Pinkham Sr. Lecture,,video
sowle,8tr37pUgg24,Nevada Sowle Music Bag,,video
straw,ven6z2ixyzc,Mike Straw Music Bag,,video
suffrage,zjLLe3Rffk0,Abigail Scott Duniway &amp; Suffrage,Brown Bag,video
symphony,PaD8duoBp2k,Chief Joseph Legend Symphony,Brown Bag,video
three,F2tVn6b9UDA,Three Women Artists,Brown Bag,video
tnc,o5PnKfKS0lI,The Nature Conservancy,Brown Bag,video
tunisia,mCuh_zdET80,Tunisian Student,Brown Bag,video
vanport,9ki9fu-tbSo,From Maxville to Vanport Performance,,video
vencill,xygOpbsA6gs,Carol Vencill,Brown Bag,video
vic,54QR92Dn7IM,Vic Coggins Backcountry,Brown Bag,video
vietnam,#NAME?,Vietnam Big Read,Brown Bag,video
Wallowa,xUkMqe9UGJE,Wallowa Resources Forest Stewardship,,video
wallowahistory,pFWoG3-wUcM,Wallowa History Center,Brown Bag,video
weaver,fCcK0kiCI74,David Weaver,Brown Bag,video
wmhcta,YclLZwaXx-M,Wallowa Mountains Hells Canyon Trails,Brown Bag,video
xmas2018,ctRCNRHoyJg,2018 Christmas Story,Brown Bag
